series,parameter,value,seeds,opportunities,recoveryMean,recoveryMin,recoveryMax,opportunityWeightedImdbCoverage,itemWeightedImdbCoverage,realizedEpisodesPerSeries,candidates.ready,candidates.already_applied,candidates.current_state_conflict,candidates.insufficient_identity_evidence,candidates.source_has_no_effect,rows.ambiguous_current_key,rows.no_current_key_match
baseline,-,-,20,1608,0.9145,0.8337,0.9542,0.9145,0.9161,17.85,1471.1,0.0,0.0,44.1,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0,20,1608,0.0000,0.0000,0.0000,0.0000,0.0000,17.85,0.0,0.0,0.0,433.0,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.1,20,1608,0.1117,0.0643,0.1722,0.1117,0.1110,17.85,179.8,0.0,0.0,389.9,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.2,20,1608,0.2058,0.1342,0.3046,0.2058,0.2059,17.85,331.1,0.0,0.0,343.9,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.3,20,1608,0.3057,0.2111,0.3945,0.3057,0.3053,17.85,491.9,0.0,0.0,302.4,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.4,20,1608,0.4152,0.3221,0.4948,0.4152,0.4147,17.85,668.0,0.0,0.0,260.2,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.5,20,1608,0.5044,0.3977,0.5880,0.5044,0.5039,17.85,811.5,0.0,0.0,218.5,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.6,20,1608,0.6150,0.5168,0.6877,0.6150,0.6165,17.85,989.3,0.0,0.0,178.6,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.7,20,1608,0.7269,0.6821,0.8030,0.7269,0.7286,17.85,1169.3,0.0,0.0,134.3,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.8,20,1608,0.8218,0.7241,0.8724,0.8218,0.8240,17.85,1322.0,0.0,0.0,89.2,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,0.9,20,1608,0.9145,0.8337,0.9542,0.9145,0.9161,17.85,1471.1,0.0,0.0,44.1,0.0,0.0,1608.7
imdb_coverage,imdbCoverage,1,20,1608,1.0000,1.0000,1.0000,1.0000,1.0000,17.85,1608.7,0.0,0.0,0.0,0.0,0.0,1608.7
tmdb_only,tmdbCoverage,0,20,1608,0.0000,0.0000,0.0000,0.0000,0.0000,17.85,0.0,0.0,0.0,0.0,0.0,0.0,1608.7
tmdb_only,tmdbCoverage,0.1,20,1608,0.0000,0.0000,0.0000,0.0000,0.0000,17.85,0.0,0.0,0.0,50.1,0.0,0.0,1608.7
